case_row_id,conflict_id,artifact_id,artifact_name,record_ids,source_count,sources,identity_grade,alignment_status,slot,slot_label,conflict_type,current_status,Gq_value,Yjzq_value,QNQY_value,CQL_value,text_support,image_support,subject_scope,audit_flags,review_readiness,machine_audit_note,expert_decision,expert_canonical_value,expert_rationale
GQ-069,conflict:gq-object-d22a6ae355:provenance,gq-object-d22a6ae355,来凰,QNQY041 | CQL016,2,CQL | QNQY,A_strong,confirmed,provenance,递藏与来源,substantive_conflict,differ,,,徐圣禅后人 | 浙江省博物馆,怡府二十四琴斋,supported,non_diagnostic_for_slot,16_来凰 | 41_来凰,,P1_expert_review,数据链路完整，可进入领域专家核验,Unreviewed,,
GQ-009,conflict:gq-object-b688f82946:current_holder,gq-object-b688f82946,松石间意,Gq00020 | QNQY053,2,Gq | QNQY,A_strong,confirmed,current_holder,现藏单位,substantive_conflict,differ,苏州怡园,,重庆中国三峡博物馆,,supported,non_diagnostic_for_slot,20_松石间意 | 53_松石间意,,P1_expert_review,数据链路完整，可进入领域专家核验,Unreviewed,,
GQ-014,conflict:gq-object-b688f82946:provenance,gq-object-b688f82946,松石间意,Gq00020 | QNQY053,2,Gq | QNQY,A_strong,confirmed,provenance,递藏与来源,partial_overlap,overlap,市人民法院 | 顾文彬,,顾文彬,,supported,non_diagnostic_for_slot,20_松石间意 | 53_松石间意,,P1_expert_review,数据链路完整，可进入领域专家核验,Unreviewed,,
GQ-008,conflict:gq-object-b688f82946:component_material,gq-object-b688f82946,松石间意,Gq00020 | QNQY053,2,Gq | QNQY,A_strong,confirmed,component_material,配件材质,partial_overlap,overlap,七个和田玉轸、一对和田玉雁足 | 檀木岳山及琴尾附件 | 黄金徽,,七个和田玉轸和一对和田玉雁足 | 檀木岳山及琴尾附件,,supported,attribute_linked_available,20_松石间意 | 53_松石间意,,P1_expert_review,数据链路完整，可进入领域专家核验,Unreviewed,,
GQ-040,conflict:gq-object-db99a5c696:dating,gq-object-db99a5c696,瀑飞,Gq00056 | Yjzq00061,2,Gq | Yjzq,A_strong,confirmed,dating,年代,substantive_conflict,differ,清代,清初,,,supported,non_diagnostic_for_slot,56_瀑飞 | 61_瀑飞,,P1_expert_review,数据链路完整，可进入领域专家核验,Unreviewed,,
GQ-042,conflict:gq-object-db99a5c696:lacquer,gq-object-db99a5c696,瀑飞,Gq00056 | Yjzq00061,2,Gq | Yjzq,A_strong,confirmed,lacquer,漆色,substantive_conflict,differ,深栗壳色漆,"深栗光色漆,黑中泛红",,,supported,attribute_linked_available,56_瀑飞 | 61_瀑飞,,P1_expert_review,数据链路完整，可进入领域专家核验,Unreviewed,,
GQ-038,conflict:gq-object-db99a5c696:ash,gq-object-db99a5c696,瀑飞,Gq00056 | Yjzq00061,2,Gq | Yjzq,A_strong,confirmed,ash,灰胎,substantive_conflict,differ,鹿角霜灰,鹿角灰胎,,,supported,attribute_linked_available,56_瀑飞 | 61_瀑飞,,P1_expert_review,数据链路完整，可进入领域专家核验,Unreviewed,,
GQ-070,conflict:gq-object-2c7267350c:duanwen,gq-object-2c7267350c,疏影,QNQY045 | CQL030,2,CQL | QNQY,A_strong,confirmed,duanwen,断纹,substantive_conflict,differ,,,梅花断 | 蛇腹间流水断,梅花点断 | 蛇腹断间流水断,supported,attribute_linked_available,30_疏影 | 45_疏影,,P1_expert_review,数据链路完整，可进入领域专家核验,Unreviewed,,
GQ-074,conflict:gq-object-2c7267350c:provenance,gq-object-2c7267350c,疏影,QNQY045 | CQL030,2,CQL | QNQY,A_strong,confirmed,provenance,递藏与来源,substantive_conflict,differ,,,徐圣禅后人 | 浙江省博物馆,庐陵彭氏,supported,non_diagnostic_for_slot,30_疏影 | 45_疏影,,P1_expert_review,数据链路完整，可进入领域专家核验,Unreviewed,,
GQ-024,conflict:gq-object-30add4e511:dating,gq-object-30add4e511,韵磬,Gq00034 | Yjzq00033,2,Gq | Yjzq,A_strong,confirmed,dating,年代,substantive_conflict,differ,明代(1368~1644年),大明隆庆四年(1570年),,,supported,non_diagnostic_for_slot,33_韵磬 | 34_韵磬,,P1_expert_review,数据链路完整，可进入领域专家核验,Unreviewed,,
GQ-025,conflict:gq-object-30add4e511:form,gq-object-30add4e511,韵磬,Gq00034 | Yjzq00033,2,Gq | Yjzq,A_strong,confirmed,form,形制,substantive_conflict,differ,仲尼式,长方形,,,supported,attribute_linked_available,33_龙池 | 34_韵磬,,P1_expert_review,数据链路完整，可进入领域专家核验,Unreviewed,,
GQ-027,conflict:gq-object-30add4e511:material,gq-object-30add4e511,韵磬,Gq00034 | Yjzq00033,2,Gq | Yjzq,A_strong,confirmed,material,材质,substantive_conflict,differ,面桐底梓,桐木,,,supported,attribute_linked_available,33_韵磬 | 34_韵磬,,P1_expert_review,数据链路完整，可进入领域专家核验,Unreviewed,,
GQ-023,conflict:gq-object-30add4e511:ash,gq-object-30add4e511,韵磬,Gq00034 | Yjzq00033,2,Gq | Yjzq,A_strong,confirmed,ash,灰胎,substantive_conflict,differ,瓦灰胎 | 葛布胎底,瓦灰 | 葛布胎,,,supported,attribute_linked_available,33_韵磬 | 34_韵磬,,P1_expert_review,数据链路完整，可进入领域专家核验,Unreviewed,,
GQ-019,conflict:gq-object-8e3e641d67:form,gq-object-8e3e641d67,中和,Gq00031 | Yjzq00031,2,Gq | Yjzq,A_strong,confirmed,form,形制,substantive_conflict,differ,列子式,"圆形 | 方形 | 龙池圆形,凤沼方形",,,supported,attribute_linked_available,31_中和 | 31_凤沼 | 31_龙池,mixed_subject_scope,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分,Unreviewed,,
GQ-017,conflict:gq-object-8e3e641d67:dating_assessment,gq-object-8e3e641d67,中和,Gq00031 | Yjzq00031,2,Gq | Yjzq,A_strong,confirmed,dating_assessment,断代判断,substantive_conflict,differ,崇祯丙子岁(1636年),崇祯九年(1636年),,,not_found | supported,non_diagnostic_for_slot,31_中和,value_not_found_in_text,P2_data_cleanup,至少一个抽取值未在当前 OCR 文本中定位,Unreviewed,,
GQ-018,conflict:gq-object-8e3e641d67:duanwen,gq-object-8e3e641d67,中和,Gq00031 | Yjzq00031,2,Gq | Yjzq,A_strong,confirmed,duanwen,断纹,substantive_conflict,differ,小蛇腹断、牛毛断,小尾尾和牛毛断,,,not_found | supported,attribute_linked_available,31_中和,,P2_data_cleanup,数据链路完整，可进入领域专家核验,Unreviewed,,
GQ-015,conflict:gq-object-8e3e641d67:component_material,gq-object-8e3e641d67,中和,Gq00031 | Yjzq00031,2,Gq | Yjzq,A_strong,confirmed,component_material,配件材质,substantive_conflict,differ,"檀木岳山、龙龈、焦尾下贴,玉质雁足",檀木居尾 | 玉质雁足,,,not_found | supported,attribute_linked_available,31_中和,,P2_data_cleanup,数据链路完整，可进入领域专家核验,Unreviewed,,
GQ-002,conflict:gq-object-5c621975c4:dating,gq-object-5c621975c4,凤鸣,Gq00017 | Yjzq00013 | QNQY059,3,Gq | QNQY | Yjzq,A_strong,confirmed,dating,年代,substantive_conflict,differ,北宋(960~1127年),景祐元年(1034年) | 景祐元年春日,北宋,,partial | supported,non_diagnostic_for_slot,13_凤鸣 | 13_铭文 | 17_凤鸣 | 59_凤鸣,mixed_subject_scope,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分,Unreviewed,,
GQ-004,conflict:gq-object-5c621975c4:form,gq-object-5c621975c4,凤鸣,Gq00017 | Yjzq00013 | QNQY059,2,Gq | QNQY | Yjzq,A_strong,confirmed,form,形制,substantive_conflict,differ,伶官式,长圆形,,,supported,attribute_linked_available,13_凤沼 | 13_龙池 | 17_凤鸣,mixed_subject_scope,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分,Unreviewed,,
GQ-006,conflict:gq-object-5c621975c4:material,gq-object-5c621975c4,凤鸣,Gq00017 | Yjzq00013 | QNQY059,3,Gq | QNQY | Yjzq,A_strong,confirmed,material,材质,partial_overlap,overlap,桐木 | 面底皆桐,桐木 | 檀木 | 薄鹿角灰胎 | 蚌徽 | 黑漆,桐 | 桐木 | 檀木 | 蚌,,partial,attribute_linked_available,13_凤鸣 | 13_岳 | 13_琴尾 | 13_琴底 | 13_琴面 | 17_凤鸣 | 17_琴底 | 17_琴面 | 59_凤鸣 | 59_岳山 | 59_徽 | 59_琴底 | 59_琴面,mixed_subject_scope | value_not_found_in_text,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分；至少一个抽取值未在当前 OCR 文本中定位,Unreviewed,,
GQ-007,conflict:gq-object-5c621975c4:provenance,gq-object-5c621975c4,凤鸣,Gq00017 | Yjzq00013 | QNQY059,3,Gq | QNQY | Yjzq,A_strong,confirmed,provenance,递藏与来源,partial_overlap,overlap,未提及 | 袁钧,袁钧,袁钧 | 西南文化处,,structural_problem | supported,non_diagnostic_for_slot,13_凤鸣 | 17_凤鸣 | 59_凤鸣,placeholder_as_value,P2_data_cleanup,缺失占位符不应构成冲突,Unreviewed,,
GQ-001,conflict:gq-object-5c621975c4:component_material,gq-object-5c621975c4,凤鸣,Gq00017 | Yjzq00013 | QNQY059,3,Gq | QNQY | Yjzq,A_strong,confirmed,component_material,配件材质,substantive_conflict,differ,冠角为后配 | 檀木岳山及琴尾附件,冠角 | 檀木 | 足池,冠角 | 檀木 | 竹 | 蚌,,supported,attribute_linked_available,13_凤鸣 | 17_凤鸣 | 59_凤鸣 | 59_琴尾,mixed_subject_scope,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分,Unreviewed,,
GQ-005,conflict:gq-object-5c621975c4:inscription,gq-object-5c621975c4,凤鸣,Gq00017 | Yjzq00013 | QNQY059,2,Gq | QNQY | Yjzq,A_strong,confirmed,inscription,铭文,substantive_conflict,differ,凤鸣,,59_铭文,,structural_problem | supported,attribute_linked_available,17_铭文 | 59_琴底,internal_entity_reference,P2_data_cleanup,内部实体编号被当作值，需解析实体,Unreviewed,,
GQ-046,conflict:gq-object-ac90f78803:dating_assessment,gq-object-ac90f78803,彩凤鸣岐,QNQY029 | CQL009,2,CQL | QNQY,A_strong,confirmed,dating_assessment,断代判断,substantive_conflict,differ,,,大唐开元二年(714年),唐代 | 大唐开元二年(714年),not_found | partial,non_diagnostic_for_slot,29_彩凤鸣岐 | 9_彩凤鸣岐 | 9_雷威,mixed_subject_scope,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分,Unreviewed,,
GQ-047,conflict:gq-object-ac90f78803:duanwen,gq-object-ac90f78803,彩凤鸣岐,QNQY029 | CQL009,2,CQL | QNQY,A_strong,confirmed,duanwen,断纹,substantive_conflict,differ,,,冰裂纹断兼小流水断 | 琴面断纹隐约可见 | 类似梅花断的小圆圈,冰裂断兼小流水断 | 梅花断,supported,attribute_linked_available,29_彩凤鸣岐 | 9_彩凤鸣岐 | 9_琴面,mixed_subject_scope,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分,Unreviewed,,
GQ-050,conflict:gq-object-ac90f78803:material,gq-object-ac90f78803,彩凤鸣岐,QNQY029 | CQL009,2,CQL | QNQY,A_strong,confirmed,material,材质,partial_overlap,overlap,,,木 | 漆灰 | 鹿角灰胎,鹿角灰胎,supported,attribute_linked_available,29_凤沼 | 29_彩凤鸣岐 | 29_琴面 | 9_彩凤鸣岐,mixed_subject_scope,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分,Unreviewed,,
GQ-049,conflict:gq-object-ac90f78803:lacquer,gq-object-ac90f78803,彩凤鸣岐,QNQY029 | CQL009,2,CQL | QNQY,A_strong,confirmed,lacquer,漆色,substantive_conflict,differ,,,栗壳色原漆间朱漆 | 琴面与侧墙后加朱漆,朱漆 | 栗壳色原漆间朱漆,partial,attribute_linked_available,29_彩凤鸣岐 | 29_琴底 | 9_彩凤鸣岐 | 9_琴面,mixed_subject_scope,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分,Unreviewed,,
GQ-045,conflict:gq-object-ac90f78803:current_holder,gq-object-ac90f78803,彩凤鸣岐,QNQY029 | CQL009,2,CQL | QNQY,A_strong,confirmed,current_holder,现藏单位,substantive_conflict,differ,,,浙江省博物馆,9_时百所藏,structural_problem | supported,non_diagnostic_for_slot,29_彩凤鸣岐 | 9_彩凤鸣岐,internal_entity_reference,P2_data_cleanup,内部实体编号被当作值，需解析实体,Unreviewed,,
GQ-051,conflict:gq-object-ac90f78803:provenance,gq-object-ac90f78803,彩凤鸣岐,QNQY029 | CQL009,2,CQL | QNQY,A_strong,confirmed,provenance,递藏与来源,substantive_conflict,differ,,,定慎郡王旧藏百余琴 | 徐圣禅后人 | 杨宗稷,9_定慎郡王溥煦 | 9_杨宗稷 | 徐桴后人,structural_problem | supported,non_diagnostic_for_slot,29_彩凤鸣岐 | 9_彩凤鸣岐,internal_entity_reference,P2_data_cleanup,内部实体编号被当作值，需解析实体,Unreviewed,,
GQ-048,conflict:gq-object-ac90f78803:inscriber,gq-object-ac90f78803,彩凤鸣岐,QNQY029 | CQL009,2,CQL | QNQY,A_strong,confirmed,inscriber,题刻者,substantive_conflict,differ,,,雷威,9_杨宗稷,structural_problem | supported,attribute_linked_available,29_铭文 | 9_题刻,internal_entity_reference,P2_data_cleanup,内部实体编号被当作值，需解析实体,Unreviewed,,
GQ-030,conflict:gq-object-637f5152f3:dating,gq-object-637f5152f3,无名琴 · Gq00041 / Yjzq00040,Gq00041 | Yjzq00040,2,Gq | Yjzq,A_strong,confirmed,dating,年代,substantive_conflict,differ,明代(1368~1644年),同治癸酉(1873年) | 崇祯癸未(1643年),,,partial | supported,non_diagnostic_for_slot,40_无名琴 | 41_无名琴,value_not_found_in_text,P2_data_cleanup,至少一个抽取值未在当前 OCR 文本中定位,Unreviewed,,
GQ-036,conflict:gq-object-007f5a5880:duanwen,gq-object-007f5a5880,无名琴 · Gq00052 / Yjzq00052,Gq00052 | Yjzq00052,2,Gq | Yjzq,A_strong,confirmed,duanwen,断纹,substantive_conflict,differ,重髹黑漆,无断纹,,,supported,attribute_linked_available,52_无名琴 | 52_琴底 | 52_琴面,mixed_subject_scope,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分,Unreviewed,,
GQ-037,conflict:gq-object-007f5a5880:material,gq-object-007f5a5880,无名琴 · Gq00052 / Yjzq00052,Gq00052 | Yjzq00052,2,Gq | Yjzq,A_strong,confirmed,material,材质,partial_overlap,overlap,桐木 | 梓木 | 面桐底梓,面桐底梓,,,partial | supported,attribute_linked_available,52_无名琴 | 52_琴底 | 52_琴面,mixed_subject_scope | value_not_found_in_text,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分；至少一个抽取值未在当前 OCR 文本中定位,Unreviewed,,
GQ-034,conflict:gq-object-007f5a5880:ash,gq-object-007f5a5880,无名琴 · Gq00052 / Yjzq00052,Gq00052 | Yjzq00052,2,Gq | Yjzq,A_strong,confirmed,ash,灰胎,substantive_conflict,differ,鹿角霜灰,鹿角灰胎,,,supported,attribute_linked_available,52_无名琴 | 52_琴面,mixed_subject_scope,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分,Unreviewed,,
GQ-035,conflict:gq-object-007f5a5880:component_material,gq-object-007f5a5880,无名琴 · Gq00052 / Yjzq00052,Gq00052 | Yjzq00052,2,Gq | Yjzq,A_strong,confirmed,component_material,配件材质,substantive_conflict,differ,檀木,檀木岳尾足,,,supported,attribute_linked_available,52_岳山 | 52_无名琴 | 52_琴尾附件 | 52_雁足,mixed_subject_scope,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分,Unreviewed,,
GQ-044,conflict:gq-object-08ea5ebdc1:material,gq-object-08ea5ebdc1,无名琴 · Gq00070 / Yjzq00082,Gq00070 | Yjzq00082,2,Gq | Yjzq,A_strong,confirmed,material,材质,partial_overlap,overlap,杉木,杉木 | 梓木 | 黑漆,,,not_found | partial,attribute_linked_available,70_无名琴 | 70_琴底 | 70_琴面 | 82_无名琴 | 82_琴底 | 82_琴面,mixed_subject_scope | value_not_found_in_text,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分；至少一个抽取值未在当前 OCR 文本中定位,Unreviewed,,
GQ-043,conflict:gq-object-08ea5ebdc1:component_material,gq-object-08ea5ebdc1,无名琴 · Gq00070 / Yjzq00082,Gq00070 | Yjzq00082,2,Gq | Yjzq,A_strong,confirmed,component_material,配件材质,partial_overlap,overlap,红木,墨书 | 红木,,,supported,attribute_linked_available,70_无名琴 | 70_琴尾 | 82_尾足 | 82_岳 | 82_无名琴 | 82_龙池,mixed_subject_scope,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分,Unreviewed,,
GQ-066,conflict:gq-object-d22a6ae355:form,gq-object-d22a6ae355,来凰,QNQY041 | CQL016,2,CQL | QNQY,A_strong,confirmed,form,形制,substantive_conflict,differ,,,长方形,仲尼式 | 长方形,supported,attribute_linked_available,16_凤沼 | 16_来凰 | 16_龙池 | 41_龙池,mixed_subject_scope,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分,Unreviewed,,
GQ-064,conflict:gq-object-d22a6ae355:dating_assessment,gq-object-d22a6ae355,来凰,QNQY041 | CQL016,2,CQL | QNQY,A_strong,confirmed,dating_assessment,断代判断,substantive_conflict,differ,,,盛唐开元时期,元代 | 盛唐开元年间,supported,non_diagnostic_for_slot,16_朱致远 | 16_雷霄 | 41_来凰,mixed_subject_scope,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分,Unreviewed,,
GQ-065,conflict:gq-object-d22a6ae355:duanwen,gq-object-d22a6ae355,来凰,QNQY041 | CQL016,2,CQL | QNQY,A_strong,confirmed,duanwen,断纹,substantive_conflict,differ,,,冰裂纹断、牛毛断、龟背断,冰裂断 | 牛毛断 | 龟背断,supported,attribute_linked_available,16_来凰 | 16_琴底 | 16_琴面 | 41_来凰 | 41_琴底 | 41_琴面,mixed_subject_scope,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分,Unreviewed,,
GQ-067,conflict:gq-object-d22a6ae355:inscription,gq-object-d22a6ae355,来凰,QNQY041 | CQL016,2,CQL | QNQY,A_strong,confirmed,inscription,铭文,substantive_conflict,differ,,,清同治十二年岳阳李绥复修 | 雷霄制赤城朱致远重修,岳阳李绥复修 | 来凰 | 清同治十二年 | 赤城朱致远重修 | 雷霄制,supported,attribute_linked_available,16_凤沼 | 16_轸池 | 16_龙池 | 41_凤沼 | 41_龙池,mixed_subject_scope,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分,Unreviewed,,
GQ-011,conflict:gq-object-b688f82946:form,gq-object-b688f82946,松石间意,Gq00020 | QNQY053,2,Gq | QNQY,A_strong,confirmed,form,形制,substantive_conflict,differ,仲尼式,,仲尼式 | 长方形,,supported,attribute_linked_available,20_松石间意 | 53_凤沼 | 53_松石间意 | 53_龙池,mixed_subject_scope,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分,Unreviewed,,
GQ-013,conflict:gq-object-b688f82946:material,gq-object-b688f82946,松石间意,Gq00020 | QNQY053,2,Gq | QNQY,A_strong,confirmed,material,材质,partial_overlap,overlap,桐木 | 梓木 | 面桐底梓,,桐木 | 梓木 | 琴面桐底梓,,partial,attribute_linked_available,20_松石间意 | 20_琴底 | 20_琴面 | 53_松石间意 | 53_琴底 | 53_琴面,mixed_subject_scope | value_not_found_in_text,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分；至少一个抽取值未在当前 OCR 文本中定位,Unreviewed,,
GQ-039,conflict:gq-object-db99a5c696:component_material,gq-object-db99a5c696,瀑飞,Gq00056 | Yjzq00061,2,Gq | Yjzq,A_strong,confirmed,component_material,配件材质,partial_overlap,overlap,烟水晶 | 紫檀,紫檀 | 茶色水晶,,,supported,attribute_linked_available,56_下贴 | 56_冠角 | 56_岳山 | 56_承露 | 56_瀑飞 | 56_龙龈 | 61_宝角 | 61_岳山 | 61_承露 | 61_瀑飞 | 61_焦尾 | 61_雁足 | 61_龙殿,mixed_subject_scope,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分,Unreviewed,,
GQ-041,conflict:gq-object-db99a5c696:inscription,gq-object-db99a5c696,瀑飞,Gq00056 | Yjzq00061,2,Gq | Yjzq,A_strong,confirmed,inscription,铭文,partial_overlap,overlap,56_铭文 | 瀑飞,李 | 瀑飞,,,structural_problem | supported,attribute_linked_available,56_琴底 | 56_铭文 | 61_琴底 | 61_龙池,internal_entity_reference | mixed_subject_scope,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分；内部实体编号被当作值，需解析实体,Unreviewed,,
GQ-071,conflict:gq-object-2c7267350c:form,gq-object-2c7267350c,疏影,QNQY045 | CQL030,2,CQL | QNQY,A_strong,confirmed,form,形制,substantive_conflict,differ,,,长方形,仲尼式 | 长方形,supported,attribute_linked_available,30_凤沼 | 30_疏影 | 30_龙池 | 45_凤沼 | 45_龙池,mixed_subject_scope,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分,Unreviewed,,
GQ-073,conflict:gq-object-2c7267350c:material,gq-object-2c7267350c,疏影,QNQY045 | CQL030,2,CQL | QNQY,A_strong,confirmed,material,材质,partial_overlap,overlap,,,木质褐色 | 贝壳徽,褐色木质 | 贝壳徽 | 黑漆,partial | supported,attribute_linked_available,30_琴底 | 30_琴面 | 30_疏影 | 45_琴底 | 45_疏影,mixed_subject_scope | value_not_found_in_text,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分；至少一个抽取值未在当前 OCR 文本中定位,Unreviewed,,
GQ-072,conflict:gq-object-2c7267350c:inscription,gq-object-2c7267350c,疏影,QNQY045 | CQL030,2,CQL | QNQY,A_strong,confirmed,inscription,铭文,substantive_conflict,differ,,,《琅嬛记》题刻 | 大篆题刻 | 杨宗稷题刻,万念俱静 | 八音克谐 | 李阳冰篆 | 疏影,not_found | supported,attribute_linked_available,30_凤沼 | 30_龙池 | 45_凤沼 | 45_龙池,mixed_subject_scope | value_not_found_in_text,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分；至少一个抽取值未在当前 OCR 文本中定位,Unreviewed,,
GQ-059,conflict:gq-object-9a8c534b1e:form,gq-object-9a8c534b1e,秋鸿,QNQY039 | CQL034,2,CQL | QNQY,C_name_only,confirmed,form,形制,substantive_conflict,differ,,,长方形,仲尼式 | 长方形,supported,attribute_linked_available,34_凤沼 | 34_秋鸿 | 34_龙池 | 39_凤沼 | 39_龙池,identity_needs_review | mixed_subject_scope,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分；跨来源同物对齐证据不足,Unreviewed,,
GQ-062,conflict:gq-object-9a8c534b1e:material,gq-object-9a8c534b1e,秋鸿,QNQY039 | CQL034,2,CQL | QNQY,C_name_only,confirmed,material,材质,partial_overlap,overlap,,,木质 | 桐木 | 贝壳徽,发黑木质 | 木质 | 贝壳徽,partial,attribute_linked_available,34_琴底 | 34_琴面 | 34_秋鸿 | 39_凤沼 | 39_琴面 | 39_秋鸿 | 39_龙池,identity_needs_review | mixed_subject_scope | value_not_found_in_text,P2_data_cleanup,整琴与构件属性可能被合并，需按主语拆分；至少一个抽取值未在当前 OCR 文本中定位；跨来源同物对齐证据不足,Unreviewed,,
GQ-063,conflict:gq-object-9a8c534b1e:provenance,gq-object-9a8c534b1e,秋鸿,QNQY039 | CQL034,2,CQL | QNQY,C_name_only,confirmed,provenance,递藏与来源,partial_overlap,overlap,,,不详 | 徐圣禅后人 | 百忍堂,北京西苑三海 | 杨宗稷 | 百忍堂,structural_problem | supported,non_diagnostic_for_slot,34_秋鸿 | 39_秋鸿,identity_needs_review | placeholder_as_value,P2_data_cleanup,缺失占位符不应构成冲突；跨来源同物对齐证据不足,Unreviewed,,
